#timestamp tx ty tz qx qy qz qw
9.636606 8.277792 34.993907 0.190044 0.202531 -0.642542 -0.196736 0.712331
9.637606 8.292021 34.993754 0.189931 0.202552 -0.642478 -0.196766 0.712375
9.638606 8.306262 34.993592 0.189818 0.202572 -0.642414 -0.196795 0.712419
9.639606 8.320516 34.993423 0.189704 0.202593 -0.642349 -0.196824 0.712463
9.640606 8.334782 34.993247 0.189591 0.202614 -0.642285 -0.196854 0.712507
9.641606 8.349061 34.993062 0.189477 0.202634 -0.642221 -0.196883 0.712551
9.642606 8.363351 34.992870 0.189362 0.202655 -0.642157 -0.196912 0.712595
9.643606 8.377655 34.992670 0.189248 0.202675 -0.642093 -0.196942 0.712639
9.644606 8.391970 34.992462 0.189133 0.202695 -0.642029 -0.196971 0.712683
9.645606 8.406298 34.992246 0.189018 0.202716 -0.641964 -0.197000 0.712726
9.646606 8.420638 34.992023 0.188903 0.202736 -0.641900 -0.197030 0.712770
9.647606 8.434990 34.991792 0.188788 0.202756 -0.641836 -0.197059 0.712814
9.648606 8.449355 34.991554 0.188672 0.202776 -0.641773 -0.197089 0.712858
9.649606 8.463731 34.991307 0.188556 0.202797 -0.641709 -0.197118 0.712901
9.650606 8.478120 34.991053 0.188440 0.202817 -0.641645 -0.197147 0.712945
9.651606 8.492521 34.990792 0.188324 0.202837 -0.641581 -0.197177 0.712988
9.652606 8.506934 34.990522 0.188207 0.202857 -0.641517 -0.197206 0.713032
9.653606 8.521359 34.990245 0.188090 0.202877 -0.641453 -0.197236 0.713076
9.654606 8.535797 34.989961 0.187973 0.202897 -0.641390 -0.197265 0.713119
9.655606 8.550246 34.989668 0.187856 0.202917 -0.641326 -0.197294 0.713163
9.656606 8.564707 34.989369 0.187738 0.202936 -0.641262 -0.197324 0.713206
9.657606 8.579180 34.989061 0.187620 0.202956 -0.641199 -0.197353 0.713249
9.658606 8.593665 34.988746 0.187502 0.202976 -0.641135 -0.197383 0.713293
9.659606 8.608162 34.988424 0.187384 0.202996 -0.641072 -0.197412 0.713336
9.660606 8.622671 34.988094 0.187265 0.203015 -0.641008 -0.197442 0.713379
9.661606 8.637192 34.987756 0.187147 0.203035 -0.640945 -0.197471 0.713423
9.662606 8.651725 34.987411 0.187028 0.203055 -0.640881 -0.197501 0.713466
9.663606 8.666269 34.987058 0.186909 0.203074 -0.640818 -0.197530 0.713509
9.664606 8.680825 34.986698 0.186789 0.203094 -0.640754 -0.197560 0.713552
9.665606 8.695393 34.986330 0.186670 0.203113 -0.640691 -0.197589 0.713596
9.666606 8.709973 34.985955 0.186550 0.203133 -0.640628 -0.197619 0.713639
9.667606 8.724564 34.985573 0.186430 0.203152 -0.640564 -0.197648 0.713682
9.668606 8.739168 34.985183 0.186310 0.203172 -0.640501 -0.197678 0.713725
9.669606 8.753782 34.984785 0.186189 0.203191 -0.640438 -0.197708 0.713768
9.670606 8.768409 34.984380 0.186069 0.203210 -0.640375 -0.197737 0.713811
9.671606 8.783047 34.983968 0.185948 0.203229 -0.640312 -0.197767 0.713854
9.672606 8.797696 34.983548 0.185827 0.203249 -0.640248 -0.197796 0.713897
9.673606 8.812357 34.983121 0.185705 0.203268 -0.640185 -0.197826 0.713940
9.674606 8.827030 34.982686 0.185584 0.203287 -0.640122 -0.197855 0.713983
9.675606 8.841714 34.982244 0.185462 0.203306 -0.640059 -0.197885 0.714025
9.676606 8.856409 34.981795 0.185340 0.203325 -0.639996 -0.197915 0.714068
9.677606 8.871116 34.981338 0.185218 0.203344 -0.639933 -0.197944 0.714111
9.678606 8.885835 34.980874 0.185096 0.203363 -0.639871 -0.197974 0.714154
9.679606 8.900565 34.980403 0.184973 0.203382 -0.639808 -0.198004 0.714196
9.680606 8.915306 34.979924 0.184851 0.203401 -0.639745 -0.198033 0.714239
9.681606 8.930058 34.979438 0.184728 0.203419 -0.639682 -0.198063 0.714282
9.682606 8.944822 34.978945 0.184605 0.203438 -0.639619 -0.198093 0.714324
9.683606 8.959597 34.978445 0.184481 0.203457 -0.639556 -0.198122 0.714367
9.684606 8.974383 34.977937 0.184358 0.203476 -0.639494 -0.198152 0.714410
9.685606 8.989181 34.977422 0.184234 0.203494 -0.639431 -0.198182 0.714452
9.686606 9.003989 34.976900 0.184110 0.203513 -0.639368 -0.198211 0.714495
9.687606 9.018809 34.976370 0.183986 0.203532 -0.639306 -0.198241 0.714537
9.688606 9.033640 34.975834 0.183862 0.203550 -0.639243 -0.198271 0.714580
9.689606 9.048482 34.975290 0.183738 0.203569 -0.639181 -0.198301 0.714622
9.690606 9.063336 34.974739 0.183613 0.203587 -0.639118 -0.198330 0.714665
9.691606 9.078200 34.974180 0.183488 0.203605 -0.639056 -0.198360 0.714707
9.692606 9.093075 34.973615 0.183363 0.203624 -0.638993 -0.198390 0.714749
9.693606 9.107962 34.973042 0.183238 0.203642 -0.638931 -0.198420 0.714792
9.694606 9.122859 34.972462 0.183113 0.203661 -0.638868 -0.198449 0.714834
9.695606 9.137767 34.971875 0.182988 0.203679 -0.638806 -0.198479 0.714876
9.696606 9.152687 34.971281 0.182862 0.203697 -0.638744 -0.198509 0.714918
9.697606 9.167617 34.970680 0.182736 0.203715 -0.638681 -0.198539 0.714961
9.698606 9.182558 34.970072 0.182610 0.203733 -0.638619 -0.198569 0.715003
9.699606 9.197510 34.969457 0.182484 0.203751 -0.638557 -0.198598 0.715045
9.700606 9.212472 34.968834 0.182358 0.203770 -0.638495 -0.198628 0.715087
9.701606 9.227446 34.968205 0.182231 0.203788 -0.638432 -0.198658 0.715129
9.702606 9.242430 34.967568 0.182105 0.203806 -0.638370 -0.198688 0.715171
9.703606 9.257425 34.966925 0.181978 0.203824 -0.638308 -0.198718 0.715213
9.704606 9.272431 34.966274 0.181851 0.203841 -0.638246 -0.198748 0.715255
9.705606 9.287447 34.965617 0.181724 0.203859 -0.638184 -0.198778 0.715297
9.706606 9.302474 34.964952 0.181597 0.203877 -0.638122 -0.198808 0.715339
9.707606 9.317512 34.964280 0.181469 0.203895 -0.638060 -0.198837 0.715381
9.708606 9.332560 34.963602 0.181342 0.203913 -0.637998 -0.198867 0.715423
9.709606 9.347619 34.962916 0.181214 0.203930 -0.637936 -0.198897 0.715465
9.710606 9.362688 34.962224 0.181086 0.203948 -0.637874 -0.198927 0.715507
9.711606 9.377768 34.961524 0.180959 0.203966 -0.637812 -0.198957 0.715548
9.712606 9.392859 34.960818 0.180830 0.203983 -0.637750 -0.198987 0.715590
9.713606 9.407960 34.960105 0.180702 0.204001 -0.637689 -0.199017 0.715632
9.714606 9.423071 34.959384 0.180574 0.204019 -0.637627 -0.199047 0.715674
9.715606 9.438193 34.958657 0.180445 0.204036 -0.637565 -0.199077 0.715715
9.716606 9.453325 34.957923 0.180317 0.204053 -0.637503 -0.199107 0.715757
9.717606 9.468468 34.957182 0.180188 0.204071 -0.637441 -0.199137 0.715799
9.718606 9.483621 34.956435 0.180059 0.204088 -0.637380 -0.199167 0.715840
9.719606 9.498784 34.955680 0.179930 0.204106 -0.637318 -0.199197 0.715882
9.720606 9.513958 34.954919 0.179801 0.204123 -0.637256 -0.199227 0.715924
9.721606 9.529142 34.954151 0.179671 0.204140 -0.637195 -0.199257 0.715965
9.722606 9.544336 34.953376 0.179542 0.204157 -0.637133 -0.199287 0.716007
9.723606 9.559540 34.952594 0.179412 0.204175 -0.637072 -0.199317 0.716048
9.724606 9.574754 34.951805 0.179283 0.204192 -0.637010 -0.199348 0.716090
